strategy_prompt,model,related_nonconflicts,labels,cross_refs,accuracy,accuracy_c,precision,precision_c,recall,recall_c,f1_score,f1_score_c,total,total_c,tp,tp_c,tn,tn_c,fp,fp_c,fn,fn_c
entire_sections--prompt4-entire_sections,gemini-2.5-flash,yes,not_really,no,0.678,0.737,0.551,0.461,0.631,0.774,0.541,0.543,1003.0,781,218.0,123,446.0,446,177.0,177,162.0,35
entire_sections--prompt4-entire_sections,gemini-2.5-flash-lite,yes,not_really,no,0.637,0.673,0.503,0.392,0.63,0.742,0.516,0.48,1003.0,781,233.0,117,403.0,403,220.0,220,147.0,41
entire_sections--prompt3-entire_sections,gemini-2.5-flash,no,not_really,no,0.81,0.892,0.779,0.728,0.629,0.765,0.645,0.699,1013.0,791,222.0,125,581.0,581,52.0,52,158.0,33
entire_sections--prompt5-entire_sections_cross_refs,gemini-2.5-flash,yes,no,muni,0.678,0.727,0.556,0.449,0.628,0.777,0.561,0.547,1663.0,1299,384.0,217,736.0,736,302.0,302,241.0,44
entire_sections_threshold_related--prompt3-entire_sections_related-t-0.7,gemini-2.5-flash,yes,not_really,no,0.673,0.736,0.536,0.451,0.628,0.776,0.533,0.541,1003.0,781,217.0,129,445.0,445,178.0,178,163.0,29
entire_sections_x_related--prompt3-entire_sections_related-x-2,gemini-2.5-flash,no,not_really,no,0.82,0.915,0.804,0.775,0.628,0.803,0.667,0.76,1013.0,791,224.0,132,591.0,591,42.0,42,156.0,26
entire_sections--prompt7-entire_sections,gemini-2.5-flash,yes,yes,yes,0.675,0.726,0.533,0.432,0.622,0.773,0.543,0.526,1720.0,1355,385.0,216,776.0,776,315.0,315,244.0,48
entire_sections_threshold_related--prompt3-entire_sections_related-t-0.7,gemini-2.5-flash,no,not_really,no,0.812,0.902,0.758,0.702,0.621,0.815,0.636,0.715,1013.0,791,227.0,133,581.0,581,52.0,52,153.0,25
entire_sections--prompt3-entire_sections,gemini-2.5-flash,yes,yes,no,0.677,0.73,0.541,0.438,0.619,0.773,0.544,0.529,1720.0,1355,374.0,210,788.0,788,303.0,303,255.0,54
entire_sections--prompt3-entire_sections,gemini-2.5-flash,yes,no,no,0.67,0.716,0.531,0.425,0.618,0.742,0.537,0.512,1720.0,1355,384.0,211,776.0,776,315.0,315,245.0,53
entire_sections--prompt4-entire_sections,gemini-2.5-flash,no,not_really,no,0.824,0.907,0.78,0.717,0.61,0.727,0.631,0.687,1013.0,791,221.0,125,589.0,589,44.0,44,159.0,33
entire_sections--prompt2-entire_sections,gemini-2.5-pro,no,not_really,no,0.814,0.89,0.733,0.655,0.569,0.72,0.612,0.655,1741.0,1414,339.0,193,1078.0,1078,88.0,88,236.0,55
baseline--prompt1-baseline,gemini-2.5-flash,yes,yes,no,0.694,0.767,0.577,0.479,0.549,0.69,0.522,0.534,1669.0,1316,315.0,186,842.0,842,221.0,221,291.0,67
entire_sections--prompt8-entire_sections,gemini-3-pro-preview,yes,yes,no,0.723,0.803,0.662,0.572,0.548,0.68,0.556,0.574,1769.0,1378,372.0,213,913.0,913,172.0,172,312.0,80
baseline--prompt1-baseline,gemini-2.5-flash-lite,yes,no,no,0.675,0.713,0.56,0.41,0.537,0.52,0.528,0.447,598.0,445,137.0,56,251.0,251,98.0,98,112.0,40
entire_sections_threshold_related--prompt8-entire_sections-t-0.75,gemini-3-pro-preview,yes,yes,yes,0.711,0.795,0.666,0.579,0.52,0.674,0.531,0.561,1323.0,1032,244.0,140,710.0,710,120.0,120,249.0,62
entire_sections--prompt3-entire_sections,gemini-2.5-flash-lite,no,not_really,no,0.755,0.818,0.611,0.515,0.514,0.589,0.522,0.513,1300.0,1056,228.0,113,763.0,763,111.0,111,198.0,69
entire_sections_threshold_related--prompt3-entire_sections_related-t-0.7,gemini-2.5-flash-lite,yes,not_really,no,0.659,0.724,0.527,0.44,0.501,0.629,0.467,0.473,1722.0,1382,281.0,156,838.0,838,284.0,284,319.0,104
baseline--prompt1-baseline,gemini-2.5-flash-lite,yes,yes,no,0.659,0.716,0.524,0.412,0.499,0.584,0.483,0.457,1720.0,1355,315.0,158,795.0,795,296.0,296,314.0,106
entire_sections_x_related--prompt3-entire_sections_related-x-2,gemini-2.5-flash-lite,yes,not_really,no,0.646,0.717,0.536,0.453,0.494,0.578,0.472,0.474,769.0,582,143.0,75,346.0,346,108.0,108,172.0,53
k_surrounding--prompt1-k_surrounding-k-3,gemini-2.5-pro,no,not_really,no,0.813,0.905,0.829,0.786,0.487,0.614,0.58,0.653,1741.0,1414,270.0,160,1129.0,1129,37.0,37,305.0,88
entire_sections--prompt1-entire_sections,gemini-2.5-pro,no,not_really,no,0.805,0.896,0.74,0.696,0.486,0.653,0.546,0.637,1741.0,1414,292.0,179,1110.0,1110,56.0,56,283.0,69
entire_sections--prompt3-entire_sections,gemini-2.5-flash-lite,yes,not_really,no,0.658,0.725,0.513,0.432,0.482,0.596,0.462,0.474,1110.0,879,203.0,108,537.0,537,172.0,172,198.0,62
baseline--prompt1-baseline,gemini-2.5-pro,no,not_really,no,0.81,0.9,0.772,0.722,0.467,0.598,0.551,0.622,1741.0,1414,276.0,162,1127.0,1127,39.0,39,299.0,86
entire_sections_x_related--prompt3-entire_sections_related-x-4,gemini-2.5-flash-lite,yes,not_really,no,0.66,0.727,0.5,0.426,0.46,0.59,0.45,0.465,1467.0,1189,236.0,133,732.0,732,235.0,235,264.0,89
siblings--prompt1-siblings,gemini-2.5-pro,no,not_really,no,0.802,0.89,0.752,0.682,0.457,0.567,0.536,0.584,1741.0,1414,271.0,156,1117.0,1117,49.0,49,304.0,92
entire_sections_threshold_related--prompt3-entire_sections_related-t-0.7,gemini-2.5-flash-lite,no,not_really,no,0.74,0.828,0.652,0.589,0.447,0.59,0.501,0.551,1732.0,1392,268.0,152,1010.0,1010,122.0,122,332.0,108
entire_sections_x_related--prompt3-entire_sections_related-x-4,gemini-2.5-flash-lite,no,not_really,no,0.749,0.841,0.662,0.584,0.435,0.564,0.503,0.553,1732.0,1392,266.0,154,1026.0,1026,106.0,106,334.0,106
entire_sections_x_related--prompt3-entire_sections_related-x-2,gemini-2.5-flash-lite,no,not_really,no,0.728,0.823,0.646,0.572,0.42,0.535,0.474,0.52,1732.0,1392,260.0,150,1018.0,1018,114.0,114,340.0,110
